Crash Time of Day,Collision Type,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Driver Distracted By,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Speed Limit,Parked Vehicle
5,0,0,0,1,0,0,0,0,0,0,3,35,0
0,2,0,0,2,1,1,1,3,3,0,1,30,0
4,0,0,0,2,0,1,0,2,2,0,3,55,0
3,3,1,2,5,0,0,0,9,10,8,1,30,0
4,0,0,0,4,0,0,0,0,0,0,0,40,0
5,2,0,0,1,0,0,0,7,7,0,1,35,0
3,2,0,2,2,0,1,1,5,4,9,1,35,0
4,3,0,0,1,0,0,0,2,2,5,4,35,0
5,3,0,0,1,0,0,0,2,2,4,1,40,0
5,3,0,0,1,0,1,0,10,11,0,2,30,0
2,1,0,2,2,0,0,0,2,2,1,1,55,0
5,4,0,0,1,0,1,1,5,5,0,5,35,0
5,3,0,0,0,0,1,1,9,10,0,2,25,0
0,3,0,0,2,0,0,0,2,2,0,1,35,0
0,4,0,0,2,0,0,0,2,2,0,1,35,0
5,2,0,0,1,0,1,1,1,1,0,1,35,0
5,0,0,0,2,0,0,0,0,0,7,8,10,1
5,3,0,0,0,0,0,0,2,2,0,1,25,0
5,9,0,0,2,0,0,0,8,8,0,1,40,0
5,6,1,0,2,0,0,0,3,3,0,1,45,0
0,0,0,0,2,0,0,0,0,0,0,3,30,0
0,0,0,0,2,0,1,0,2,2,0,1,45,0
5,3,0,0,1,0,0,0,11,9,0,2,45,0
4,0,0,0,1,0,1,1,2,2,0,1,40,0
5,0,0,0,1,0,0,0,0,0,0,1,45,0
0,0,0,0,2,0,0,0,0,0,0,1,45,0
5,9,0,0,2,0,1,0,2,2,0,10,40,0
4,12,1,0,2,0,0,0,2,2,8,1,45,0
5,1,0,0,2,0,1,0,2,2,0,1,55,0
5,2,0,0,1,0,0,0,0,0,0,1,35,0
5,0,0,0,2,0,1,1,3,3,0,11,10,0
